No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
1,WMT,Walmart Inc.,648.13B,60.62,1.39%,488.16B
2,AMZN,"Amazon.com, Inc.",574.79B,185.95,0.15%,"1,931.54B"
3,BRK.B,Berkshire Hathaway Inc.,439.34B,409.11,-1.35%,884.96B
4,AAPL,Apple Inc,385.71B,167.78,-1.11%,"2,590.84B"
5,UNH,UnitedHealth Group Incorporated,371.62B,450.05,-2.10%,414.92B
6,CVS,CVS Health Corporation,357.78B,71.15,-3.01%,89.54B
7,XOM,Exxon Mobil Corporation,344.58B,122.20,0.84%,484.87B
8,GOOGL,Alphabet Inc.,307.39B,156.14,-0.29%,"1,950.00B"
9,MCK,McKesson Corporation,301.51B,529.99,0.51%,69.64B
10,COR,Cencora,271.58B,237.80,-0.32%,47.44B
11,COST,Costco Wholesale Corporation,248.83B,722.58,0.56%,320.47B
12,MSFT,Microsoft Corporation,227.58B,423.26,-0.71%,"3,145.01B"
13,CAH,"Cardinal Health, Inc.",216.15B,107.94,-0.12%,26.25B
14,CVX,Chevron Corporation,200.95B,162.67,0.41%,302.12B
15,CI,Cigna Corporation,195.27B,357.84,0.10%,104.62B
16,F,Ford Motor Company,176.19B,13.06,-3.55%,50.97B
17,GM,General Motors Company,171.84B,43.94,-1.77%,50.73B
18,ELV,Elevance Health Inc.,171.34B,507.74,-1.29%,118.14B
19,JPM,JPMorgan Chase & Co.,158.10B,195.47,-0.85%,563.03B
20,CNC,Centene Corporation,154.00B,72.25,-0.63%,38.64B
21,HD,"The Home Depot, Inc.",152.67B,350.56,-3.00%,347.41B
22,MPC,Marathon Petroleum Corporation,150.31B,211.22,-0.42%,76.11B
23,KR,The Kroger Co.,150.04B,56.60,2.13%,40.85B
24,PSX,Phillips 66,149.89B,165.16,-0.15%,70.66B
25,VLO,Valero Energy Corporation,144.77B,175.70,-0.32%,58.42B
26,WBA,"Walgreens Boots Alliance, Inc.",144.60B,18.02,-6.05%,15.55B
27,META,"Meta Platforms, Inc.",134.90B,519.83,0.57%,"1,325.26B"
28,VZ,Verizon Communications Inc.,133.97B,40.52,-0.78%,170.36B
29,T,AT&T Inc.,122.43B,16.73,-1.01%,119.67B
30,CMCSA,Comcast Corporation,121.57B,39.72,-1.07%,157.39B
31,TGT,Target Corporation,107.41B,171.62,-0.01%,79.24B
32,HUM,Humana Inc.,106.37B,319.17,-0.14%,38.48B
33,BAC,Bank of America Corporation,98.58B,36.65,-2.86%,288.53B
34,TSLA,"Tesla, Inc.",96.77B,171.76,-2.89%,547.02B
35,ADM,Archer-Daniels-Midland Company,93.94B,63.89,-0.02%,32.57B
36,PEP,"PepsiCo, Inc.",91.47B,168.95,-0.97%,232.21B
37,UPS,"United Parcel Service, Inc.",90.96B,147.26,-2.20%,125.56B
38,DIS,The Walt Disney Company,88.94B,117.19,-0.66%,214.96B
39,DELL,Dell Technologies Inc.,88.43B,123.37,-0.29%,88.06B
40,FDX,FedEx Corporation,87.51B,270.30,-2.20%,66.52B
41,LOW,"Lowe's Companies, Inc.",86.38B,237.16,-2.96%,135.70B
42,JNJ,Johnson & Johnson,85.16B,150.20,-1.37%,361.80B
43,PG,The Procter & Gamble Company,83.93B,157.24,0.37%,369.99B
44,WFC,Wells Fargo & Company,82.60B,56.94,-1.11%,201.59B
45,ACI,"Albertsons Companies, Inc.",79.16B,20.86,-0.33%,12.02B
46,ET,Energy Transfer LP,78.59B,15.78,0.38%,53.14B
47,TMUS,"T-Mobile US, Inc.",78.56B,160.38,-0.39%,190.35B
48,C,Citigroup Inc.,78.46B,60.18,-2.40%,115.26B
49,BA,The Boeing Company,77.79B,174.63,-1.96%,106.55B
50,SYY,Sysco Corporation,77.51B,76.96,-0.71%,38.31B
51,RTX,RTX Corp,68.92B,101.36,-0.24%,134.77B
52,GE,GE Aerospace,67.95B,156.61,1.37%,171.22B
53,LMT,Lockheed Martin Corporation,67.57B,451.71,0.92%,109.15B
54,SNEX,StoneX Group Inc.,67.42B,65.65,-2.25%,2.07B
55,CAT,Caterpillar Inc.,67.06B,372.07,0.05%,185.80B
56,MET,"MetLife, Inc.",66.91B,71.91,-1.33%,51.99B
57,HCA,"HCA Healthcare, Inc.",64.97B,327.76,-0.34%,86.69B
58,PGR,The Progressive Corporation,62.11B,206.15,0.65%,120.74B
59,IBM,International Business Machines Corporation,61.86B,186.04,-1.73%,170.55B
60,NVDA,NVIDIA Corporation,60.92B,870.39,1.97%,"2,175.98B"
61,DE,Deere & Company,60.79B,411.97,0.12%,114.68B
62,MRK,"Merck & Co., Inc.",60.12B,126.75,0.03%,321.01B
63,BG,Bunge Limited,59.54B,107.64,0.54%,15.44B
64,DAL,"Delta Air Lines, Inc.",59.04B,46.24,-2.28%,29.75B
65,COP,Conoco Phillips,58.57B,132.82,0.43%,156.25B
66,PFE,Pfizer Inc.,58.50B,26.32,-1.72%,148.62B
67,PFGC,Performance Food Group Company,57.87B,71.21,-0.38%,11.08B
68,CSCO,"Cisco Systems, Inc.",57.23B,49.21,-1.60%,199.26B
69,ALL,The Allstate Corporation,57.09B,169.75,0.84%,44.66B
70,SNX,TD SYNNEX Corporation,56.41B,114.92,-1.20%,10.07B
71,AXP,American Express Company,55.59B,217.65,-1.00%,157.55B
72,CHTR,"Charter Communications, Inc.",54.61B,262.85,-3.17%,37.95B
73,ABBV,AbbVie Inc.,54.32B,169.03,-0.65%,299.29B
74,INTC,Intel Corporation,54.23B,37.20,-2.95%,157.28B
75,TJX,"The TJX Companies, Inc.",54.22B,96.28,-0.84%,109.08B
76,MS,Morgan Stanley,54.14B,91.65,-2.58%,149.87B
77,PRU,"Prudential Financial, Inc.",53.98B,112.72,-1.38%,40.47B
78,UAL,"United Airlines Holdings, Inc.",53.72B,42.37,-2.46%,13.90B
79,HPQ,HP Inc.,53.11B,28.95,-3.40%,28.33B
80,TSN,"Tyson Foods, Inc.",52.94B,58.17,-2.09%,20.32B
81,AAL,American Airlines Group Inc.,52.79B,13.41,-3.87%,8.78B
82,ORCL,Oracle Corporation,52.51B,121.75,-1.20%,334.63B
83,NKE,"NIKE, Inc.",51.58B,89.00,-2.20%,134.86B
84,EPD,Enterprise Products Partners L.P.,49.72B,29.15,-0.38%,63.20B
85,PAA,"Plains All American Pipeline, L.P.",48.71B,18.13,-2.16%,12.71B
86,PAGP,"Plains GP Holdings, L.P.",48.71B,19.10,-1.09%,3.77B
87,WKC,World Kinect Corporation,47.71B,25.68,-2.51%,1.54B
88,AIG,"American International Group, Inc.",46.80B,75.32,-0.26%,51.29B
89,GS,"The Goldman Sachs Group, Inc.",46.25B,400.76,-2.42%,130.47B
90,KO,The Coca-Cola Company,45.75B,58.92,-1.34%,254.02B
91,BMY,Bristol-Myers Squibb Company,45.01B,50.29,-2.54%,101.93B
92,DOW,Dow Inc.,44.62B,58.85,-1.70%,41.39B
93,BBY,"Best Buy Co., Inc.",43.45B,79.89,-3.22%,17.21B
94,TMO,Thermo Fisher Scientific Inc.,42.86B,573.71,-2.63%,218.76B
95,GD,General Dynamics Corporation,42.27B,290.04,0.42%,79.47B
96,TRV,"The Travelers Companies, Inc.",41.36B,224.38,0.24%,51.41B
97,WBD,"Warner Bros. Discovery, Inc.",41.32B,8.33,-4.14%,20.30B
98,LYB,LyondellBasell Industries N.V.,41.11B,103.53,-1.17%,33.60B
99,ABT,Abbott Laboratories,40.11B,111.17,-1.13%,192.90B
100,NOC,Northrop Grumman Corporation,39.29B,457.91,0.71%,67.83B
101,AVGO,Broadcom Inc.,38.87B,"1,322.37",-0.88%,612.81B
102,DG,Dollar General Corporation,38.69B,154.63,0.81%,33.97B
103,PBF,PBF Energy Inc.,38.32B,59.07,0.39%,7.06B
104,UBER,"Uber Technologies, Inc.",37.28B,74.35,-1.05%,154.39B
105,SBUX,Starbucks Corporation,36.69B,85.95,-1.35%,97.31B
106,HON,Honeywell International Inc.,36.66B,195.65,-1.39%,127.60B
107,QCOM,QUALCOMM Incorporated,36.29B,170.86,-2.68%,190.68B
108,MDLZ,"Mondelez International, Inc.",36.02B,66.68,-1.74%,89.78B
109,DHI,"D.R. Horton, Inc.",35.93B,148.25,-6.39%,49.19B
110,USFD,US Foods Holding Corp.,35.60B,51.64,-0.27%,12.65B
111,PM,Philip Morris International Inc.,35.17B,89.72,-1.48%,139.29B
112,PCAR,PACCAR Inc,35.13B,118.69,-0.41%,62.19B
113,LEN,Lennar Corporation,35.06B,156.43,-5.76%,43.06B
114,CRM,"Salesforce, Inc.",34.86B,299.62,-0.91%,290.63B
115,NUE,Nucor Corporation,34.71B,198.18,-0.85%,47.71B
116,LLY,Eli Lilly and Company,34.12B,761.98,0.63%,724.46B
117,MOH,"Molina Healthcare, Inc.",34.07B,377.15,-0.74%,22.09B
118,CMI,Cummins Inc.,34.07B,302.30,0.09%,42.88B
119,NFLX,"Netflix, Inc.",33.72B,618.58,0.06%,267.70B
120,V,Visa Inc.,33.35B,274.48,-0.81%,551.42B
121,SLB,Schlumberger Limited,33.14B,54.20,0.06%,77.13B
122,ARW,"Arrow Electronics, Inc.",33.11B,126.28,-2.12%,6.80B
123,MMM,3M Company,32.68B,92.63,0.02%,51.26B
124,APO,"Apollo Global Management, Inc.",32.64B,114.22,2.10%,64.90B
125,JBL,Jabil Inc.,32.09B,136.36,-0.12%,16.44B
126,DINO,HF Sinclair Corporation,31.96B,60.81,-0.43%,12.07B
127,CBRE,"CBRE Group, Inc.",31.95B,91.33,-5.06%,27.92B
128,LAD,"Lithia Motors, Inc.",31.04B,270.25,-3.17%,7.44B
129,DLTR,"Dollar Tree, Inc.",30.60B,128.73,1.10%,28.06B
130,UNFI,"United Natural Foods, Inc.",30.25B,10.22,-2.94%,607.44M
131,PYPL,"PayPal Holdings, Inc.",29.77B,65.88,-1.67%,70.61B
132,PARA,Paramount Global,29.65B,10.50,-4.28%,6.55B
133,PAG,"Penske Automotive Group, Inc.",29.53B,150.14,-2.77%,10.06B
134,DUK,Duke Energy Corporation,29.06B,95.41,-1.96%,73.60B
135,OXY,Occidental Petroleum Corporation,28.92B,68.94,0.57%,61.11B
136,NRG,"NRG Energy, Inc.",28.82B,73.18,0.56%,15.71B
137,AMGN,Amgen Inc.,28.19B,266.45,-1.45%,142.80B
138,NEE,"NextEra Energy, Inc.",28.11B,64.01,-2.10%,131.38B
139,HPE,Hewlett Packard Enterprise Company,28.08B,18.00,-0.11%,23.40B
140,GILD,"Gilead Sciences, Inc.",27.12B,68.12,-2.60%,84.94B
141,AN,"AutoNation, Inc.",26.95B,154.43,-3.64%,6.44B
142,KHC,The Kraft Heinz Company,26.64B,36.82,-0.91%,44.67B
143,KMX,"CarMax, Inc.",26.63B,79.30,-4.90%,12.52B
144,AMAT,"Applied Materials, Inc.",26.49B,209.25,-0.55%,173.87B
145,COF,Capital One Financial Corporation,26.36B,139.94,-2.49%,53.47B
146,LUV,Southwest Airlines Co.,26.09B,27.96,-3.75%,16.68B
147,USB,U.S. Bancorp,25.74B,42.03,-4.35%,65.50B
148,AVT,"Avnet, Inc.",25.61B,47.93,-2.96%,4.33B
149,BKR,Baker Hughes Company,25.51B,34.15,-0.12%,34.18B
150,MCD,McDonald's Corporation,25.49B,268.67,-0.29%,193.99B
151,SO,The Southern Company,25.25B,69.77,-1.16%,76.12B
152,MA,Mastercard Incorporated,25.10B,469.17,-0.63%,434.32B
153,CEG,Constellation Energy Corporation,24.92B,191.08,1.58%,60.21B
154,HIG,"The Hartford Financial Services Group, Inc.",24.53B,99.31,0.45%,29.64B
155,MO,"Altria Group, Inc.",24.48B,41.68,-1.02%,73.50B
156,PCG,PG&E Corporation,24.43B,16.72,-1.59%,35.67B
157,EOG,"EOG Resources, Inc.",24.19B,137.95,0.65%,80.01B
158,UNP,Union Pacific Corporation,24.12B,236.85,-1.64%,144.43B
159,DHR,Danaher Corporation,23.89B,245.87,-1.57%,182.08B
160,M,"Macy's, Inc.",23.87B,20.19,2.54%,5.54B
161,MAR,"Marriott International, Inc.",23.71B,254.35,-0.23%,73.63B
162,LEA,Lear Corporation,23.47B,136.85,-4.85%,7.81B
163,GPC,Genuine Parts Company,23.09B,148.28,-1.47%,20.67B
164,SUN,Sunoco LP,23.07B,54.53,-3.76%,4.60B
165,SHW,The Sherwin-Williams Company,23.05B,321.16,-4.00%,81.61B
166,HAL,Halliburton Company,23.02B,41.11,0.32%,36.59B
167,FCX,Freeport-McMoRan Inc.,22.86B,50.92,-0.74%,73.04B
168,LYV,"Live Nation Entertainment, Inc.",22.75B,101.42,-1.28%,23.41B
169,MMC,"Marsh & McLennan Companies, Inc.",22.74B,201.18,-1.54%,98.91B
170,AMD,"Advanced Micro Devices, Inc.",22.68B,167.14,-2.13%,270.06B
171,CCL,Carnival Corporation & plc,22.57B,14.95,-3.55%,18.70B
172,WCC,"WESCO International, Inc.",22.39B,167.02,-3.33%,8.51B
173,CARR,Carrier Global Corporation,22.10B,56.89,-2.10%,51.21B
174,CLF,Cleveland-Cliffs Inc.,22.00B,22.30,1.78%,11.11B
175,SQ,"Block, Inc.",21.92B,78.51,-1.84%,48.34B
176,EXC,Exelon Corporation,21.73B,36.91,-2.53%,36.90B
177,MUSA,Murphy USA Inc.,21.53B,412.93,-0.07%,8.60B
178,PNC,"The PNC Financial Services Group, Inc.",21.49B,155.03,-3.95%,61.67B
179,CDW,CDW Corporation,21.38B,247.28,-2.74%,33.19B
180,BKNG,Booking Holdings Inc.,21.37B,"3,586.13",0.13%,122.54B
181,TFC,Truist Financial Corporation,21.28B,37.50,-3.77%,50.05B
182,PWR,"Quanta Services, Inc.",20.88B,254.30,-0.82%,37.06B
183,JLL,Jones Lang LaSalle Incorporated,20.76B,183.70,-5.31%,8.72B
184,THC,Tenet Healthcare Corporation,20.56B,101.10,-0.70%,10.11B
185,SYK,Stryker Corporation,20.50B,347.33,-1.02%,132.08B
186,KMB,Kimberly-Clark Corporation,20.43B,127.16,-0.61%,42.84B
187,WM,"Waste Management, Inc.",20.43B,208.20,0.83%,83.61B
188,LNG,"Cheniere Energy, Inc.",20.39B,158.06,0.65%,37.10B
189,ROST,"Ross Stores, Inc.",20.38B,138.29,-1.16%,46.35B
190,GIS,"General Mills, Inc.",20.17B,68.85,-1.90%,38.87B
191,GT,The Goodyear Tire & Rubber Company,20.07B,12.67,-5.87%,3.60B
192,WRK,WestRock Company,20.01B,49.10,-0.10%,12.62B
193,BJ,"BJ's Wholesale Club Holdings, Inc.",19.97B,79.40,2.86%,10.56B
194,ADBE,Adobe Inc.,19.94B,487.22,-1.08%,220.22B
195,PH,Parker-Hannifin Corporation,19.83B,555.37,-1.07%,71.32B
196,GEHC,GE HealthCare Technologies Inc.,19.55B,85.39,-1.78%,38.88B
197,BDX,"Becton, Dickinson and Company",19.49B,240.99,-1.96%,69.62B
198,CL,Colgate-Palmolive Company,19.46B,86.56,-1.24%,71.25B
199,WHR,Whirlpool Corporation,19.46B,110.94,-5.01%,6.04B
200,LHX,"L3Harris Technologies, Inc.",19.42B,205.49,-0.32%,39.06B
201,PXD,Pioneer Natural Resources Company,19.36B,275.32,1.12%,64.32B
202,CTSH,Cognizant Technology Solutions Corporation,19.35B,69.97,-2.22%,34.83B
203,FI,"Fiserv, Inc.",19.09B,153.78,-1.03%,90.79B
204,AEP,"American Electric Power Company, Inc.",18.98B,83.29,-2.10%,43.83B
205,IP,International Paper Company,18.92B,38.25,0.29%,13.25B
206,MAN,ManpowerGroup Inc.,18.91B,72.86,-4.27%,3.53B
207,CRBG,"Corebridge Financial, Inc.",18.88B,27.36,0.55%,17.03B
208,SCHW,The Charles Schwab Corporation,18.84B,71.10,-1.63%,126.28B
209,STLD,"Steel Dynamics, Inc.",18.80B,144.65,-1.42%,22.88B
210,AFL,Aflac Incorporated,18.70B,82.92,-0.30%,47.85B
211,ARMK,Aramark,18.66B,31.90,-0.96%,8.37B
212,ADP,"Automatic Data Processing, Inc.",18.59B,245.79,-1.69%,100.97B
213,RGA,"Reinsurance Group of America, Incorporated",18.57B,189.96,0.36%,12.49B
214,MU,"Micron Technology, Inc.",18.31B,122.20,-0.35%,135.32B
215,PPG,"PPG Industries, Inc.",18.25B,137.73,-3.14%,32.42B
216,X,United States Steel Corporation,18.05B,42.61,1.62%,9.53B
217,GPI,"Group 1 Automotive, Inc.",17.87B,271.86,-3.51%,3.72B
218,BLK,"BlackRock, Inc.",17.86B,783.65,-2.52%,116.72B
219,AZO,"AutoZone, Inc.",17.83B,"3,025.75",-0.59%,52.35B
220,OKE,"ONEOK, Inc.",17.68B,79.06,-1.01%,46.10B
221,CHRW,"C.H. Robinson Worldwide, Inc.",17.60B,72.01,-1.26%,8.42B
222,TXN,Texas Instruments Incorporated,17.52B,168.92,-2.62%,153.60B
223,BK,The Bank of New York Mellon Corporation,17.50B,55.68,-2.66%,42.01B
224,KSS,Kohl's Corporation,17.48B,23.21,-5.84%,2.57B
225,FCNCA,"First Citizens BancShares, Inc.",17.41B,"1,607.61",0.12%,23.17B
226,FCNCO,"First Citizens BancShares, Inc.",17.41B,22.65,-1.50%,23.15B
227,PPC,Pilgrim's Pride Corporation,17.36B,35.19,-0.34%,8.33B
228,CTVA,"Corteva, Inc.",17.23B,57.16,-0.63%,39.31B
229,BLDR,"Builders FirstSource, Inc.",17.10B,187.14,-6.05%,22.82B
230,SATS,EchoStar Corporation,17.02B,13.43,-1.68%,3.65B
231,DK,"Delek US Holdings, Inc.",16.92B,31.47,0.25%,2.01B
232,SRE,Sempra,16.72B,70.18,-2.09%,44.36B
233,J,Jacobs Engineering Group Inc.,16.71B,144.34,-1.62%,18.14B
234,GLP,Global Partners LP,16.49B,45.18,1.01%,1.54B
235,GWW,"W.W. Grainger, Inc.",16.48B,"1,000.85",-0.68%,49.22B
236,KD,"Kyndryl Holdings, Inc.",16.46B,21.40,-3.43%,4.92B
237,EIX,Edison International,16.34B,68.92,-2.78%,26.50B
238,MGM,MGM Resorts International,16.16B,44.68,-3.73%,14.16B
239,ITW,Illinois Tool Works Inc.,16.11B,259.29,-1.25%,77.48B
240,PHM,"PulteGroup, Inc.",16.06B,109.40,-5.19%,23.21B
241,TRGP,Targa Resources Corp.,16.06B,114.68,0.24%,25.52B
242,EMR,Emerson Electric Co.,15.91B,114.08,-0.15%,65.22B
243,L,Loews Corporation,15.90B,74.82,-0.49%,16.63B
244,ORLY,"O'Reilly Automotive, Inc.",15.81B,"1,093.10",-0.24%,64.53B
245,MKL,Markel Corporation,15.80B,"1,490.09",-0.01%,19.54B
246,SWK,"Stanley Black & Decker, Inc.",15.78B,92.91,-4.40%,14.29B
247,AMP,"Ameriprise Financial, Inc.",15.54B,425.98,-0.84%,43.72B
248,FLR,Fluor Corporation,15.47B,41.64,0.39%,7.10B
249,KVUE,Kenvue Inc.,15.44B,20.24,-0.54%,38.75B
250,LDOS,"Leidos Holdings, Inc.",15.44B,126.22,-0.69%,17.14B
251,VTRS,Viatris Inc.,15.43B,11.71,-0.93%,13.91B
252,KMI,"Kinder Morgan, Inc.",15.33B,18.27,-1.14%,40.55B
253,ECL,Ecolab Inc.,15.32B,222.15,-1.61%,63.43B
254,DVN,Devon Energy Corporation,15.26B,54.51,0.68%,34.61B
