Title,Genre,Stars,Runtime,Rating
Bullet Train,"Action, Comedy, Thriller",7.3,127 min,7.3
Emancipation,"Action, Thriller",6.2,132 min,6.2
Violent Night,"Action, Comedy, Thriller",6.7,112 min,6.7
Top Gun: Maverick,"Action, Drama",8.2,130 min,8.2
The Batman,"Action, Crime, Drama",7.8,176 min,7.8
Im Westen nichts Neues,"Action, Drama, War",7.8,148 min,7.8
Devotion,"Action, Biography, Drama",6.6,139 min,6.6
The Gray Man,"Action, Thriller",6.5,122 min,6.5
Enola Holmes 2,"Action, Adventure, Crime",6.8,129 min,6.8
Uncharted,"Action, Adventure",6.3,116 min,6.3
Memory,"Action, Crime, Thriller",5.7,114 min,5.7
The Big 4,"Action, Comedy, Crime",6.1,141 min,6.1
Il mio nome è vendetta,"Action, Crime, Drama",5.5,90 min,5.5
Poker Face,"Action, Crime, Thriller",5.2,94 min,5.2
Detective Knight: Redemption,"Action, Adventure, Mystery",4,97 min,4
The Unbearable Weight of Massive Talent,"Action, Comedy, Crime",7,107 min,7
Ambulance,"Action, Crime, Drama",6.1,136 min,6.1
Savage Salvation,"Action, Thriller",4.8,101 min,4.8
Lou,"Action, Adventure, Crime",6.1,107 min,6.1
Samaritan,"Action, Drama, Fantasy",5.7,102 min,5.7
R.I.P.D. 2: Rise of the Damned,"Action, Adventure, Comedy",4.6,102 min,4.6
Spiderhead,"Action, Crime, Drama",5.5,106 min,5.5
Last Seen Alive,"Action, Adventure, Crime",5.7,95 min,5.7
Blacklight,"Action, Drama, Thriller",4.8,104 min,4.8
The Contractor,"Action, Drama, Thriller",5.8,103 min,5.8
Athena,"Action, Drama, Thriller",6.8,99 min,6.8
Sniper: Rogue Mission,"Action, Thriller",4.7,96 min,4.7
White Elephant,"Action, Thriller",4.4,92 min,4.4
Mad Heidi,"Action, Adventure, Comedy",5.5,92 min,5.5
Paradise City,"Action, Thriller",3.7,92 min,3.7
Detective Knight: Rogue,"Action, Adventure, Crime",3.8,105 min,3.8
Renegades,"Action, Crime, Thriller",3.7,91 min,3.7
The Man from Toronto,"Action, Adventure, Comedy",5.8,110 min,5.8
The 355,"Action, Thriller",5.6,122 min,5.6
Interceptor,"Action, Adventure, Drama",4.7,99 min,4.7
Plan lekcji,"Action, Crime, Drama",5,101 min,5
Wrong Place,"Action, Crime, Thriller",3.5,96 min,3.5
The Enforcer,"Action, Crime, Drama",5.3,90 min,5.3
One Way,"Action, Thriller",4.1,95 min,4.1
Shotgun Wedding,"Action, Comedy, Romance",5.5,101 min,5.5
Vendetta,"Action, Thriller",3.7,96 min,3.7
The Takeover,"Action, Crime, Thriller",5.3,87 min,5.3
As Good as Dead,"Action, Crime",5.5,89 min,5.5
Blackout,"Action, Crime, Thriller",3.8,81 min,3.8
Gold,"Action, Adventure, Thriller",5.4,97 min,5.4
